"동별(1)",동별(2),동별(3),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설
"동별(1)",동별(2),동별(3),공영,공영,민영,민영,시영,시영,구영,구영,시영,시영,구영,구영,민영,민영,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물
"동별(1)",동별(2),동별(3),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면)
"합계",성동구,행당2동,2,22,84,7940,-,-,2,22,-,-,-,-,-,-,44,91,24,7662,16,187
"합계",성동구,응봉동,12,374,79,2770,-,-,9,128,-,-,3,246,-,-,36,67,33,2555,10,148
"합계",성동구,금호1가동,8,114,72,3790,-,-,6,80,-,-,2,34,-,-,14,28,10,3309,48,453
"합계",성동구,금호2.3가동,10,257,317,6393,-,-,8,128,-,-,2,129,2,21,107,206,133,5665,75,501
"합계",성동구,금호4가동,3,52,127,4533,-,-,3,52,-,-,-,-,2,10,43,94,29,3999,53,430
"합계",성동구,옥수동,9,178,132,7740,1,31,6,70,-,-,2,77,-,-,37,103,32,6851,63,786
"합계",성동구,성수1가1동,16,371,530,7951,-,-,14,181,-,-,2,190,2,51,205,427,81,4096,242,3377
"합계",성동구,성수1가2동,28,614,555,8324,-,-,25,188,-,-,3,426,2,43,323,570,35,3817,195,3894
"합계",성동구,성수2가1동,33,603,600,7014,-,-,31,407,-,-,2,196,3,51,279,602,68,2610,250,3751
"합계",성동구,성수2가3동,42,966,658,15190,-,-,41,774,-,-,1,192,2,50,149,316,36,2812,471,12012
"합계",성동구,송정동,16,348,444,2717,-,-,13,133,-,-,3,215,2,35,319,488,45,1196,78,998
"합계",성동구,용답동,25,880,482,6206,-,-,22,551,-,-,3,329,2,62,212,372,70,656,198,5116
"합계",광진구,소계,77,5435,16554,136108,1,19,20,2618,1,130,55,2668,26,477,8085,19600,4603,68336,3840,47695
"합계",광진구,화양동,6,188,1266,11853,-,-,1,104,-,-,5,84,1,64,606,1288,246,2550,413,7951
"합계",광진구,군자동,5,167,1142,7630,-,-,1,27,-,-,4,140,1,10,571,1419,227,2595,343,3606
"합계",광진구,중곡1동,3,265,1274,5152,-,-,1,114,1,130,1,21,3,54,639,1080,266,2078,366,1940
"합계",광진구,중곡2동,4,174,1324,6397,-,-,2,150,-,-,2,24,1,7,635,1762,399,2910,289,1718
"합계",광진구,중곡3동,6,764,1305,5169,-,-,1,186,-,-,5,578,2,14,742,1105,270,2077,291,1973
"합계",광진구,중곡4동,9,525,1820,7805,-,-,2,387,-,-,7,138,1,35,890,1963,654,4625,275,1182
"합계",광진구,능동,4,292,870,6216,-,-,1,188,-,-,3,104,1,13,560,2170,184,1299,125,2734
"합계",광진구,광장동,6,326,357,13997,1,19,1,195,-,-,4,112,2,9,90,206,103,9214,162,4568
"합계",광진구,자양1동,3,97,1211,6328,-,-,1,50,-,-,2,47,4,88,647,1348,324,3175,236,1717
"합계",광진구,자양2동,4,584,1113,12996,-,-,1,287,-,-,3,297,3,48,523,1313,402,6883,185,4752
"합계",광진구,자양3동,3,325,405,13491,-,-,2,312,-,-,1,13,-,-,186,446,113,8992,106,4053
"합계",광진구,자양4동,7,665,842,7396,-,-,2,199,-,-,5,466,3,56,395,763,174,4338,270,2239
"합계",광진구,구의1동,5,310,1588,8300,-,-,1,80,-,-,4,230,3,63,808,1921,416,3822,361,2494
"합계",광진구,구의2동,7,377,1307,8943,-,-,1,169,-,-,6,208,1,16,513,1414,545,5462,248,2051
"합계",광진구,구의3동,5,376,730,14435,-,-,2,170,-,-,3,206,-,-,280,1402,280,8316,170,4717
"합계",동대문구,소계,599,5646,9601,148849,1,106,566,3409,3,230,29,1901,13,280,4094,9408,1818,84851,3676,54310
"합계",동대문구,용신동,100,850,1342,18727,1,106,94,512,1,79,4,153,3,85,480,1133,200,7917,659,9592
"합계",동대문구,제기동,61,971,926,8185,-,-,59,632,-,-,2,339,2,22,352,863,186,4758,386,2542
"합계",동대문구,전농1동,99,561,825,12083,-,-,98,498,-,-,1,63,3,39,363,674,186,5776,273,5594
